Aircraft Type	Type	Description	Part Number	Manufacture	Need Type	Priority	Price as Listed	Qty	Total Cost	Web links	PO Number	TL Number (For Tooling )	Status	Base	Comments	Recieved?
525A CJ2, 525B CJ3	Tool	windshield alcohol adjustment kit	CJMD8A30-001	Cessna	Needed for Repairs	Stage 2	Contact Cessna		#VALUE!				In Research		waiting for vendor	
525B CJ3	Manual/CMM	aircell Axxess II Satcom System Users Manuals	D12058	Aircell	Need For Advanced Troubleshooting	Stage 3			$0.00	https://www.scribd.com/document/667046161/D12058-AirCellAxxessUsers			In Research		Please confirm link	
525 CJ1, 525A CJ2, 525B CJ3	Part	brake reservior air filter assembly	AN6240-1		For Parts Stocking	Stage 3	$532.71		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/AN6240-1			In Research			
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4	Part	hydraulic filter	9912579-5		For Parts Stocking	Stage 3	$3,400.13		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/9912579-5			In Research			
525B CJ3, 525C CJ4	Tool	AIleron, Elevator & rudder trim freeplay fixture	CJMD827-002	Cessna	Optional	Stage 3	$18,248.81		$0.00	https://www.airpowerinc.com/cjmd827-002?srsltid=AfmBOooHwU7e8jJl--45lTVrkvA2CkckRmFnuahrzSaVj5VQrr83dda7			In Research			
525A CJ2, 525B CJ3	Tool	anti-skid test set 	99-791	Hydro-Aire	Optional	Stage 3			$0.00				In Research			
525A CJ2, 525B CJ3	Tool	anti-skid test set adapter cable	99-791-581 	Hydro-Aire	Optional	Stage 3			$0.00				In Research			
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4	Tool	Attenuator (30DB)	500-3000	Artex aircraft supplies	Need For Advanced Troubleshooting	Stage 3	$106.55		$0.00	https://shop.boeing.com/aviation-supply/search?text=500-3000+Inline+30Db+Attenuator			In Research			
525C CJ4	Tool	check valve R&I tool	6286005-1	Cessna	Needed for Repairs	Stage 3			$0.00				In Research			
525C CJ4	Tool	control wheel leveling tool	CJMD8C27-003	Cessna	Needed For Standard Inspections	Stage 3			$0.00				In Research			
